Proteins
inactive_146
inactive_116
inactive_126
inactive_64
inactive_136
inactive_62
inactive_137
inactive_51
inactive_115
inactive_191
inactive_159
inactive_139
inactive_25
inactive_182
inactive_141
inactive_1
inactive_4
inactive_172
inactive_199
active_141
active_179
active_180
active_193
active_17
active_163
active_175
active_142
active_183
active_158
active_143
active_79
active_199
active_5
active_25
active_88
active_138
active_165
active_119
active_55
active_136
active_145
active_96
active_41
active_30
active_66
active_40
active_27
active_130
